lane,period,n,firms,min_year,max_year,r2,status
history_reconstructed_common_sample,2006-2013,15718,2594,2006,2013,0.2040118194086058,reconstructed_core_missing_ownership_and_full_controls
cf_statement_common_sample,2006-2013,15718,2594,2006,2013,0.2047499772695227,reconstructed_core_missing_ownership_and_full_controls
